用例编号,模块,标题,前置条件,步骤,预期结果,优先级
TT-EVENT-006,埋点上报,Subscribe 仅首次充值触发一次,TikTok配置有效,"1. 首次充值成功;2. 第二次充值成功;3. 查看日志","Subscribe仅出现1次;第二次仅Purchase",P0
TT-EVENT-007,埋点上报,支付失败不触发 Subscribe/Purchase,TikTok配置有效,"1. 创建订单但支付失败;2. 查看日志","不调用TikTok API;无Subscribe/Purchase事件",P0
TT-EVENT-008,埋点上报,TikTok API 返回成功码校验,TikTok配置有效,"1. 触发注册或充值;2. 检查接口响应","HTTP 200且response body为success;记录request_id",P0
TT-EVENT-009,埋点上报,payload 必填字段完整性校验,TikTok配置有效,"1. 触发事件;2. 打印请求payload","payload包含pixel_id/event/event_time/user_data/properties等必填字段",P0
TT-EVENT-010,埋点上报,event_time 时间戳格式正确（秒级）,TikTok配置有效,"1. 触发事件;2. 检查event_time","event_time为秒级timestamp;TikTok后台显示时间正确",P1
TT-EVENT-011,埋点上报,Purchase 金额 value 正确,TikTok配置有效,"1. 充值金额9.99;2. 检查payload value","value=9.99且与订单一致;无乘以100错误",P0
TT-EVENT-012,埋点上报,Purchase currency 正确,TikTok配置有效,"1. 触发充值;2. 查看payload currency","currency符合业务币种且与订单一致",P0
TT-EVENT-013,埋点上报,user_data email/phone hash 校验,用户绑定邮箱或手机号,"1. 触发注册或充值;2. 检查payload user_data","email/phone按要求SHA256 hash;不上传明文",P0
TT-EVENT-014,埋点上报,client_ip_address 获取正确,TikTok配置有效,"1. 不同网络环境注册;2. 查看payload IP","IP为真实客户端IP而非服务器IP",P0
TT-EVENT-015,埋点上报,client_user_agent 获取正确,TikTok配置有效,"1. 不同浏览器注册;2. 查看payload UA","UA与真实浏览器一致",P1
TT-EVENT-016,埋点上报,订单回调重复触发幂等校验,支付回调可模拟,"1. 重复调用支付回调3次;2. 查看日志或落库","Purchase只上报1次;event_id去重生效;无重复计数",P0
TT-EVENT-017,埋点上报,event_id 唯一性校验,系统支持event_id,"1. 连续触发两次事件;2. 检查event_id","event_id不同且可追踪;同一订单event_id固定",P0
TT-EVENT-018,埋点上报,Token 无效时上报失败处理,修改token为错误值,"1. 修改token;2. 触发注册或充值","TikTok返回401/403;系统记录失败原因;业务流程不受影响",P0
TT-EVENT-019,埋点上报,Pixel ID 无效时上报失败处理,修改pixel_id错误,"1. 修改pixel_id;2. 触发事件","TikTok返回错误;系统记录失败原因;业务不受影响",P0
TT-EVENT-020,埋点上报,TikTok API 超时重试机制验证,可mock超时,"1. mock接口超时;2. 触发事件;3. 查看重试日志","触发重试;重试次数符合配置;失败可落库或告警",P0
TT-EVENT-021,埋点上报,TikTok API 429限流处理,可mock 429,"1. 并发触发大量事件;2. mock返回429","系统识别限流;进入重试队列;不丢事件",P1
TT-EVENT-022,埋点上报,TikTok API 5xx错误处理,可mock 500,"1. mock返回500;2. 触发事件","系统记录失败;可重试或进入失败队列",P1
TT-EVENT-023,埋点上报,TikTok后台 Test Events 可见性验证,有TikTok后台权限,"1. 打开Events Manager Test Events;2. 触发注册","TikTok后台实时看到CompleteRegistration事件",P0
TT-EVENT-024,埋点上报,TikTok后台 Purchase/Subscribe 可见性验证,有TikTok后台权限,"1. 打开Test Events;2. 触发充值","TikTok后台实时看到Subscribe/Purchase事件",P0
TT-EVENT-025,埋点上报,事件延迟容忍验证,有TikTok后台权限,"1. 触发事件;2. 等待1~5分钟观察","最终能在后台出现;延迟在可接受范围",P2
TT-MAP-001,配置生效,修改 Token 后立即生效,已存在配置,"1. 修改token保存;2. 触发注册事件","使用新token请求TikTok成功",P0
TT-MAP-002,配置生效,修改 Pixel ID 后立即生效,已存在配置,"1. 修改pixel_id保存;2. 触发事件","payload pixel_id为新值;TikTok后台记录到新pixel",P0
TT-MAP-003,配置映射,多渠道用户匹配正确 Pixel,存在多个渠道配置,"1. 渠道A用户注册;2. 渠道B用户注册","A使用pixel_A上报;B使用pixel_B上报",P1
TT-MAP-004,配置映射,渠道未配置时不触发上报,用户渠道无配置,"1. 用未配置渠道用户注册","不调用TikTok API;日志提示无配置",P0
TT-RECON-001,数据对账,CompleteRegistration 数量对账,有DB权限或统计接口,"1. 统计业务注册成功数N;2. 统计TikTok事件数","TikTok事件数≈N(允许延迟或少量误差)",P0
TT-RECON-002,数据对账,Purchase 数量对账,有订单统计数据,"1. 统计支付成功订单数M;2. 统计TikTok Purchase事件数","Purchase事件数≈M;无明显丢失或重复",P0
TT-RECON-003,数据对账,Purchase 金额对账,有订单金额数据,"1. 抽样10笔订单;2. 对比TikTok value","TikTok value与订单金额一致",P0
TT-RECON-004,数据对账,Subscribe 首次充值对账,有首次充值标记,"1. 统计首次充值用户数K;2. 统计TikTok Subscribe事件数","Subscribe事件数≈K",P1
